"時点","地域コード","地域","総面積（北方地域及び竹島を除く）【ha】","注記","森林面積【ha】","注記","年平均気温【℃】","注記","最高気温（日最高気温の月平均の最高値）【℃】","注記","最低気温（日最低気温の月平均の最低値）【℃】","注記","快晴日数（年間）【日】","注記","曇天日数（年間）【日】","注記","降水日数（年間）【日】","注記"
"2013年","06000","山形県","932346","","","","11.9","","31.2","","-4.6","","11","","","","143",""
"2013年","07000","福島県","1378276","","","","13.4","","32.2","","-2.5","","14","","","","97",""
"2013年","08000","茨城県","609584","","","","14.3","","31.3","","-2.5","","53","","","","103",""
"2013年","09000","栃木県","640828","","","","14.4","","32.1","","-2.9","","46","","","","108",""
"2013年","10000","群馬県","636233","","","","15.2","","33.5","","-1.0","","52","","","","92",""
"2013年","11000","埼玉県","379808","","","","15.6","","33.9","","-1.2","","70","","","","92",""
"2013年","12000","千葉県","515662","","","","16.6","","32.8","","1.5","","-","データが得られないことを示している。","","","92",""
"2013年","13000","東京都","218867","","","","17.1","","33.2","","1.8","","53","","","","93",""
"2013年","14000","神奈川県","241605","","","","16.6","","32.7","","1.8","","37","","","","95",""
"2013年","15000","新潟県","1258384","","","","13.8","","30.7","","-1.2","","12","","","","172",""
"2013年","16000","富山県","424762","","","","14.5","","32.9","","-0.8","","17","","","","179",""
"2013年","17000","石川県","418621","","","","15.0","","32.0","","0.2","","15","","","","181",""
"2013年","18000","福井県","418989","","","","14.9","","33.1","","-0.1","","24","","","","172",""
"2013年","19000","山梨県","446537","","","","15.4","","35.3","","-3.4","","57","","","","67",""
"2013年","20000","長野県","1356223","","","","12.3","","31.2","","-4.6","","18","","","","107",""
"2013年","21000","岐阜県","1062117","","","","16.3","","34.6","","-0.3","","47","","","","102",""
"2013年","22000","静岡県","778060","","","","17.2","","32.3","","0.9","","59","","","","88",""
"2013年","23000","愛知県","516516","","","","16.4","","34.5","","0.0","","38","","","","88",""
"2013年","24000","三重県","577735","","","","16.5","","33.4","","1.6","","44","","","","86",""
"2013年","25000","滋賀県","401736","","","","15.1","","33.0","","0.3","","32","","","","126",""
"2013年","26000","京都府","461326","","","","16.2","","35.1","","0.4","","24","","","","91",""
"2013年","27000","大阪府","190142","","","","17.1","","34.8","","1.7","","24","","","","88",""
"2013年","28000","兵庫県","839647","","","","17.0","","33.1","","2.1","","23","","","","87",""
"2013年","29000","奈良県","369109","","","","15.3","","33.9","","-0.9","","28","","","","94",""
"2013年","30000","和歌山県","472632","","","","17.0","","33.5","","1.7","","32","","","","88",""
"2013年","31000","鳥取県","350731","","","","15.5","","33.6","","0.4","","20","","","","137",""
"2013年","32000","島根県","670777","","","","15.4","","32.4","","0.5","","19","","","","133",""
"2013年","33000","岡山県","711324","","","","16.4","","34.1","","-0.1","","35","","","","81",""
"2013年","34000","広島県","847981","","","","16.6","","33.6","","0.8","","26","","","","83",""
"2013年","35000","山口県","611414","","","","15.8","","33.9","","-0.2","","-","データが得られないことを示している。","","","107",""
"2013年","36000","徳島県","414681","","","","16.8","","33.7","","1.6","","35","","","","91",""
"2013年","37000","香川県","187658","","","","16.8","","34.8","","0.7","","25","","","","90",""
"2013年","38000","愛媛県","567851","","","","16.8","","33.5","","0.9","","32","","","","94",""
"2013年","39000","高知県","710520","","","","17.3","","33.4","","1.1","","45","","","","96",""
"2013年","40000","福岡県","497942","","","","17.7","","34.5","","2.9","","38","","","","106",""
"2013年","41000","佐賀県","243967","","","","17.1","","34.0","","1.2","","46","","","","96",""
"2013年","42000","長崎県","410588","","","","17.5","","33.5","","2.8","","30","","","","97",""
"2013年","43000","熊本県","740489","","","","17.2","","33.9","","0.1","","30","","","","96",""
"2013年","44000","大分県","633982","","","","16.9","","34.2","","1.3","","29","","","","82",""
"2013年","45000","宮崎県","773608","","","","17.9","","34.1","","2.0","","59","","","","97",""
"2013年","46000","鹿児島県","918899","","","","18.9","","34.7","","3.9","","33","","","","109",""
"2013年","47000","沖縄県","227672","","","","23.3","","32.9","","14.3","","9","","","","122",""
"2014年","01000","北海道","7842116","","","","9.3","","27.0","","-7.4","","26","","","","144",""
"2014年","02000","青森県","964540","","","","10.7","","27.8","","-4.4","","18","","","","158",""
"2014年","03000","岩手県","1527501","","","","10.6","","28.8","","-5.8","","17","","","","133",""
"2014年","04000","宮城県","728214","","","","12.8","","28.6","","-2.1","","22","","","","107",""
"2014年","05000","秋田県","1163754","","","","12.0","","28.7","","-2.9","","16","","","","177",""
"2014年","06000","山形県","932315","","","","11.8","","30.2","","-3.7","","15","","","","146",""
"2014年","07000","福島県","1378375","","","","13.3","","30.5","","-2.3","","19","","","","115",""
"2014年","08000","茨城県","609693","","","","14.2","","30.3","","-2.6","","46","","","","99",""
"2014年","09000","栃木県","640809","","","","14.2","","30.7","","-3.1","","50","","","","104",""
"2014年","10000","群馬県","636228","","","","14.9","","31.2","","-1.1","","40","","","","90",""
"2014年","11000","埼玉県","379775","","","","15.3","","31.7","","-1.2","","64","","","","90",""
"2014年","12000","千葉県","515764","","","","16.3","","30.8","","2.0","","-","データが得られないことを示している。","","","101",""
"2014年","13000","東京都","219090","","","","16.6","","31.2","","2.5","","46","","","","106",""
"2014年","14000","神奈川県","241581","","","","16.2","","30.5","","2.5","","37","","","","103",""
"2014年","15000","新潟県","1258410","","","","13.7","","29.6","","-0.3","","16","","","","170",""
"2014年","16000","富山県","424761","","","","14.3","","30.3","","-0.5","","17","","","","168",""
"2014年","17000","石川県","418615","","","","14.8","","30.4","","0.7","","18","","","","161",""
"2014年","18000","福井県","419043","","","","14.6","","30.7","","-0.3","","22","","","","169",""
"2014年","19000","山梨県","446499","","","","14.7","","32.4","","-2.8","","36","","","","82",""
"2014年","20000","長野県","1356156","","","","11.9","","30.3","","-5.2","","21","","","","110",""
"2014年","21000","岐阜県","1062129","","","","16.1","","32.2","","0.4","","37","","","","109",""
"2014年","22000","静岡県","777870","","","","16.6","","30.9","","2.2","","51","","","","106",""
"2014年","23000","愛知県","517240","","","","16.1","","32.3","","0.5","","40","","","","107",""
"2014年","24000","三重県","577439","","","","16.1","","30.9","","1.4","","35","","","","100",""
"2014年","25000","滋賀県","401738","","","","14.9","","31.0","","0.1","","23","","","","127",""
"2014年","26000","京都府","461220","","","","16.1","","32.6","","0.7","","15","","","","104",""
"2014年","27000","大阪府","190499","","","","16.7","","32.1","","2.2","","18","","","","101",""
"2014年","28000","兵庫県","840090","","","","16.7","","30.6","","3.0","","15","","","","90",""
"2014年","29000","奈良県","369094","","","","14.9","","31.8","","-1.0","","19","","","","105",""
"2014年","30000","和歌山県","472468","","","","16.7","","31.2","","2.1","","20","","","","102",""
"2014年","31000","鳥取県","350705","","","","14.9","","31.2","","0.8","","14","","","","158",""
"2014年","32000","島根県","670803","","","","14.9","","30.2","","1.1","","19","","","","150",""
"2014年","33000","岡山県","711462","","","","16.1","","31.8","","1.3","","39","","","","96",""
"2014年","34000","広島県","847938","","","","16.2","","30.8","","2.1","","30","","","","108",""
"2014年","35000","山口県","611230","","","","15.3","","30.9","","0.0","","-","データが得られないことを示している。","","","126",""
"2014年","36000","徳島県","414693","","","","16.4","","30.8","","2.1","","16","","","","106",""
"2014年","37000","香川県","187673","","","","16.4","","31.9","","1.8","","16","","","","106",""
"2014年","38000","愛媛県","567610","","","","16.4","","31.2","","2.4","","22","","","","107",""
"2014年","39000","高知県","710391","","","","17.0","","31.0","","2.0","","33","","","","122",""
"2014年","40000","福岡県","498640","","","","17.1","","30.9","","3.9","","30","","","","124",""
"2014年","41000","佐賀県","244064","","","","16.7","","30.9","","1.8","","42","","","","115",""
"2014年","42000","長崎県","413232","","","","17.0","","29.8","","3.9","","26","","","","118",""
"2014年","43000","熊本県","740932","","","","16.8","","31.0","","1.1","","26","","","","119",""
"2014年","44000","大分県","634061","","","","16.3","","30.3","","2.0","","24","","","","108",""
"2014年","45000","宮崎県","773531","","","","17.4","","31.5","","2.3","","47","","","","120",""
"2014年","46000","鹿児島県","918810","","","","18.5","","31.3","","4.6","","30","","","","133",""
"2014年","47000","沖縄県","228100","","","","23.1","","32.1","","14.1","","7","","","","137",""
"2015年","01000","北海道","7842125","","5321686","","10.0","","26.4","","-4.6","","14","","","","144",""
"2015年","02000","青森県","964559","","615721","","11.5","","27.9","","-2.7","","11","","","","131",""
"2015年","03000","岩手県","1527501","","1144016","","11.6","","29.3","","-3.8","","16","","","","119",""
"2015年","04000","宮城県","728222","","406880","","13.7","","29.0","","-0.3","","13","","","","100",""
"2015年","05000","秋田県","1163754","","820054","","12.7","","29.0","","-1.3","","13","","","","142",""
"2015年","06000","山形県","932315","","640528","","12.7","","31.0","","-3.1","","9","","","","131",""
"2015年","07000","福島県","1378374","","936474","","14.2","","31.4","","-0.6","","11","","","","106",""
"2015年","08000","茨城県","609706","","188983","","14.8","","29.5","","-1.1","","42","","","","103",""
"2015年","09000","栃木県","640809","","340787","","14.9","","30.3","","-1.6","","42","","","","116",""
"2015年","10000","群馬県","636228","","405837","","15.6","","31.2","","0.1","","37","","","","105",""
"2015年","11000","埼玉県","379775","","121041","","16.0","","31.6","","0.4","","55","","","","101",""
"2015年","12000","千葉県","515765","","156546","","16.7","","30.6","","2.9","","-","データが得られないことを示している。","","","117",""
"2015年","13000","東京都","219093","","76285","","16.4","","30.5","","1.8","","39","","","","115",""
"2015年","14000","神奈川県","241583","","93750","","16.7","","30.2","","2.7","","41","","","","119",""
"2015年","15000","新潟県","1258410","","799290","","14.4","","29.5","","0.5","","9","","","","152",""
"2015年","16000","富山県","424761","","240479","","14.8","","30.6","","0.1","","12","","","","174",""
"2015年","17000","石川県","418609","","276418","","15.3","","30.9","","1.2","","14","","","","174",""
"2015年","18000","福井県","419049","","309689","","15.2","","31.8","","0.7","","23","","","","171",""
"2015年","19000","山梨県","446527","","347233","","15.6","","32.6","","-1.8","","35","","","","100",""
"2015年","20000","長野県","1356156","","1023360","","12.8","","30.2","","-4.0","","9","","","","122",""
"2015年","21000","岐阜県","1062129","","838912","","16.5","","33.2","","1.3","","32","","","","122",""
"2015年","22000","静岡県","777742","","490911","","17.2","","31.1","","2.2","","49","","","","114",""
"2015年","23000","愛知県","517248","","218342","","16.6","","32.9","","1.5","","34","","","","114",""
"2015年","24000","三重県","577440","","371246","","16.6","","31.3","","2.7","","32","","","","115",""
"2015年","25000","滋賀県","401738","","202804","","15.5","","31.7","","1.1","","24","","","","144",""
"2015年","26000","京都府","461219","","342350","","16.6","","33.6","","2.2","","17","","","","123",""
"2015年","27000","大阪府","190514","","57278","","17.2","","33.2","","3.3","","21","","","","119",""
"2015年","28000","兵庫県","840096","","560661","","17.3","","31.7","","3.6","","21","","","","113",""
"2015年","29000","奈良県","369094","","283468","","15.5","","32.6","","0.8","","23","","","","129",""
"2015年","30000","和歌山県","472469","","360931","","17.2","","32.2","","3.5","","22","","","","108",""
"2015年","31000","鳥取県","350705","","257118","","15.4","","31.4","","1.7","","21","","","","159",""
"2015年","32000","島根県","670804","","519874","","15.4","","30.4","","1.9","","20","","","","149",""
"2015年","33000","岡山県","711450","","483764","","16.2","","32.3","","2.3","","35","","","","100",""
"2015年","34000","広島県","847945","","608812","","16.6","","31.6","","2.8","","25","","","","106",""
"2015年","35000","山口県","611230","","437496","","15.9","","32.0","","0.9","","-","データが得られないことを示している。","","","122",""
"2015年","36000","徳島県","414665","","312010","","17.0","","31.7","","3.3","","26","","","","105",""
"2015年","37000","香川県","187672","","86988","","16.9","","32.6","","2.7","","27","","","","103",""
"2015年","38000","愛媛県","567611","","399275","","16.8","","31.4","","2.8","","29","","","","115",""
"2015年","39000","高知県","710393","","591809","","17.5","","31.8","","2.4","","50","","","","127",""
"2015年","40000","福岡県","498640","","222012","","17.3","","31.4","","4.6","","27","","","","141",""
"2015年","41000","佐賀県","244068","","110387","","17.1","","32.1","","2.7","","34","","","","124",""
"2015年","42000","長崎県","413209","","241469","","17.3","","30.4","","4.5","","31","","","","132",""
"2015年","43000","熊本県","740935","","447610","","17.2","","31.9","","2.1","","27","","","","129",""
"2015年","44000","大分県","634071","","447966","","16.8","","31.3","","3.4","","29","","","","111",""
"2015年","45000","宮崎県","773531","","586525","","17.7","","31.1","","3.1","","53","","","","137",""
"2015年","46000","鹿児島県","918694","","582415","","18.8","","31.8","","5.1","","25","","","","143",""
"2015年","47000","沖縄県","228112","","105267","","23.6","","31.6","","14.3","","9","","","","102",""
"2016年","01000","北海道","7842076","","","","9.3","","28.3","","-5.9","","16","","","","152",""
"2016年","02000","青森県","964556","","","","11.0","","28.7","","-3.0","","13","","","","170",""
"2016年","03000","岩手県","1527501","","","","11.2","","30.5","","-3.6","","11","","","","124",""
"2016年","04000","宮城県","728222","","","","13.5","","29.9","","-0.8","","12","","","","90",""
"2016年","05000","秋田県","1163752","","","","12.5","","31.4","","-1.7","","9","","","","171",""
"2016年","06000","山形県","932315","","","","12.7","","31.4","","-2.1","","11","","","","129",""
"2016年","07000","福島県","1378374","","","","14.2","","31.6","","-0.6","","11","","","","95",""
"2016年","08000","茨城県","609712","","","","14.8","","30.5","","-1.0","","31","","","","98",""
"2016年","09000","栃木県","640809","","","","14.8","","31.4","","-1.6","","34","","","","108",""
"2016年","10000","群馬県","636228","","","","15.6","","31.5","","-0.2","","46","","","","99",""
"2016年","11000","埼玉県","379775","","","","15.9","","32.3","","-0.5","","56","","","","101",""
"2016年","12000","千葉県","515764","","","","16.8","","31.2","","3.0","","-","データが得られないことを示している。","","","107",""
"2016年","13000","東京都","219100","","","","16.4","","31.6","","1.8","","24","","","","113",""
"2016年","14000","神奈川県","241592","","","","16.9","","31.3","","3.4","","24","","","","116",""
"2016年","15000","新潟県","1258418","","","","14.5","","31.1","","0.7","","10","","","","164",""
"2016年","16000","富山県","424761","","","","15.2","","31.3","","1.0","","15","","","","171",""
"2016年","17000","石川県","418609","","","","15.7","","31.8","","1.5","","11","","","","177",""
"2016年","18000","福井県","419049","","","","15.6","","32.3","","1.0","","12","","","","165",""
"2016年","19000","山梨県","446527","","","","15.7","","33.4","","-2.3","","28","","","","97",""
"2016年","20000","長野県","1356156","","","","13.1","","31.9","","-3.8","","16","","","","93",""
"2016年","21000","岐阜県","1062129","","","","16.9","","34.3","","1.7","","36","","","","113",""
"2016年","22000","静岡県","777743","","","","17.6","","32.3","","2.3","","40","","","","107",""
"2016年","23000","愛知県","517290","","","","17.0","","33.8","","1.9","","32","","","","114",""
"2016年","24000","三重県","577441","","","","16.9","","32.2","","2.9","","34","","","","115",""
"2016年","25000","滋賀県","401738","","","","15.8","","32.9","","1.4","","23","","","","124",""
"2016年","26000","京都府","461219","","","","17.1","","34.7","","2.0","","12","","","","112",""
"2016年","27000","大阪府","190514","","","","17.7","","35.0","","3.4","","15","","","","105",""
"2016年","28000","兵庫県","840093","","","","17.8","","33.7","","3.9","","14","","","","96",""
"2016年","29000","奈良県","369094","","","","16.0","","34.3","","0.5","","15","","","","109",""
"2016年","30000","和歌山県","472471","","","","17.7","","33.9","","3.6","","17","","","","100",""
"2016年","31000","鳥取県","350713","","","","16.0","","33.0","","1.3","","9","","","","163",""
"2016年","32000","島根県","670804","","","","15.9","","32.2","","1.5","","14","","","","154",""
"2016年","33000","岡山県","711447","","","","16.6","","34.3","","0.8","","25","","","","95",""
"2016年","34000","広島県","847947","","","","17.2","","34.3","","2.3","","20","","","","109",""
"2016年","35000","山口県","611234","","","","16.5","","34.2","","0.7","","-","データが得られないことを示している。","","","132",""
"2016年","36000","徳島県","414679","","","","17.6","","33.9","","3.5","","19","","","","105",""
"2016年","37000","香川県","187673","","","","17.5","","34.5","","2.8","","18","","","","92",""
"2016年","38000","愛媛県","567619","","","","17.6","","34.0","","3.2","","17","","","","111",""
"2016年","39000","高知県","710393","","","","18.1","","33.7","","2.7","","31","","","","125",""
"2016年","40000","福岡県","498640","","","","18.1","","34.3","","4.2","","15","","","","134",""
"2016年","41000","佐賀県","244068","","","","17.9","","35.0","","2.6","","24","","","","121",""
"2016年","42000","長崎県","413220","","","","18.1","","33.7","","4.2","","20","","","","127",""
"2016年","43000","熊本県","740944","","","","18.0","","35.1","","2.2","","22","","","","127",""
"2016年","44000","大分県","634074","","","","17.6","","33.9","","2.8","","24","","","","102",""
"2016年","45000","宮崎県","773531","","","","18.6","","32.7","","3.9","","40","","","","122",""
"2016年","46000","鹿児島県","918699","","","","19.6","","34.4","","5.4","","24","","","","132",""
"2016年","47000","沖縄県","228114","","","","24.1","","32.6","","14.4","","4","","","","145",""
"2017年","01000","北海道","7842078","","","","9.1","","27.7","","-7.0","","12","","","","146",""
"2017年","02000","青森県","964564","","","","10.7","","28.6","","-3.2","","14","","","","172",""
"2017年","03000","岩手県","1527501","","","","10.6","","29.2","","-4.7","","9","","","","131",""
"2017年","04000","宮城県","728222","","","","12.9","","29.3","","-0.7","","13","","","","101",""
"2017年","05000","秋田県","1163752","","","","11.9","","29.1","","-2.0","","6","","","","192",""
"2017年","06000","山形県","932315","","","","11.9","","30.7","","-2.5","","10","","","","149",""
"2017年","07000","福島県","1378390","","","","13.4","","31.4","","-1.3","","14","","","","111",""
"2017年","08000","茨城県","609719","","","","14.2","","30.8","","-1.8","","45","","","","97",""
"2017年","09000","栃木県","640809","","","","14.1","","31.2","","-1.9","","45","","","","109",""
"2017年","10000","群馬県","636228","","","","14.9","","32.0","","-0.2","","42","","","","90",""
"2017年","11000","埼玉県","379775","","","","15.4","","32.8","","-0.4","","61","","","","93",""
"2017年","12000","千葉県","515761","","","","16.3","","31.4","","2.8","","34","","","","90",""
"2017年","13000","東京都","219396","","","","15.8","","31.8","","1.7","","39","","","","95",""
"2017年","14000","神奈川県","241617","","","","16.3","","31.2","","3.1","","29","","","","97",""
"2017年","15000","新潟県","1258415","","","","13.7","","29.8","","0.3","","10","","","","169",""
"2017年","16000","富山県","424761","","","","14.3","","31.3","","0.2","","12","","","","183",""
"2017年","17000","石川県","418605","","","","15.0","","31.2","","1.1","","11","","","","179",""
"2017年","18000","福井県","419051","","","","14.6","","32.0","","0.4","","15","","","","180",""
"2017年","19000","山梨県","446527","","","","14.9","","33.3","","-2.3","","44","","","","86",""
"2017年","20000","長野県","1356156","","","","11.9","","30.2","","-4.1","","15","","","","116",""
"2017年","21000","岐阜県","1062129","","","","15.9","","32.9","","0.4","","40","","","","118",""
"2017年","22000","静岡県","777742","","","","16.8","","31.5","","2.4","","62","","","","100",""
"2017年","23000","愛知県","517292","","","","15.9","","32.7","","1.0","","31","","","","105",""
"2017年","24000","三重県","577441","","","","16.1","","31.8","","2.2","","36","","","","98",""
"2017年","25000","滋賀県","401738","","","","14.8","","31.8","","0.7","","23","","","","148",""
"2017年","26000","京都府","461220","","","","16.0","","33.6","","1.5","","20","","","","103",""
"2017年","27000","大阪府","190514","","","","16.8","","33.8","","2.9","","24","","","","85",""
"2017年","28000","兵庫県","840094","","","","16.8","","32.6","","3.2","","24","","","","86",""
"2017年","29000","奈良県","369094","","","","15.4","","33.2","","0.0","","23","","","","94",""
"2017年","30000","和歌山県","472464","","","","16.8","","33.6","","3.1","","26","","","","85",""
"2017年","31000","鳥取県","350713","","","","15.2","","32.8","","1.1","","15","","","","157",""
"2017年","32000","島根県","670806","","","","15.3","","31.5","","1.1","","21","","","","148",""
"2017年","33000","岡山県","711432","","","","15.7","","33.7","","0.5","","33","","","","89",""
"2017年","34000","広島県","847963","","","","16.3","","33.3","","2.1","","27","","","","92",""
"2017年","35000","山口県","611253","","","","15.6","","33.9","","0.3","","20","","","","114",""
"2017年","36000","徳島県","414680","","","","16.7","","32.7","","3.1","","26","","","","82",""
"2017年","37000","香川県","187677","","","","16.6","","33.9","","2.3","","22","","","","78",""
"2017年","38000","愛媛県","567623","","","","16.7","","33.2","","2.8","","33","","","","95",""
"2017年","39000","高知県","710386","","","","17.1","","33.4","","2.2","","31","","","","103",""
"2017年","40000","福岡県","498652","","","","17.6","","33.8","","4.0","","25","","","","108",""
"2017年","41000","佐賀県","244068","","","","17.0","","33.5","","1.9","","25","","","","94",""
"2017年","42000","長崎県","413088","","","","17.3","","32.6","","3.7","","26","","","","108",""
"2017年","43000","熊本県","740948","","","","16.9","","33.5","","1.0","","34","","","","102",""
"2017年","44000","大分県","634073","","","","16.8","","32.9","","2.8","","29","","","","90",""
"2017年","45000","宮崎県","773532","","","","17.6","","33.0","","2.8","","54","","","","107",""
"2017年","46000","鹿児島県","918701","","","","18.6","","33.8","","4.6","","37","","","","124",""
"2017年","47000","沖縄県","228098","","","","23.6","","33.6","","14.7","","3","","","","120",""
"2018年","01000","北海道","7842077","","","","9.5","","25.7","","-7.6","","10","","","","157",""
"2018年","02000","青森県","964565","","","","11.0","","27.4","","-5.1","","8","","","","172",""
"2018年","03000","岩手県","1527501","","","","11.0","","29.4","","-6.9","","8","","","","120",""
"2018年","04000","宮城県","728223","","","","13.6","","29.7","","-2.2","","20","","","","106",""
"2018年","05000","秋田県","1163752","","","","12.3","","29.2","","-4.0","","9","","","","168",""
"2018年","06000","山形県","932315","","","","12.6","","32.8","","-4.7","","8","","","","137",""
"2018年","07000","福島県","1378390","","","","14.2","","33.4","","-2.4","","14","","","","101",""
"2018年","08000","茨城県","609733","","","","15.3","","31.9","","-2.4","","44","","","","106",""
"2018年","09000","栃木県","640809","","","","15.2","","32.8","","-2.8","","28","","","","101",""
"2018年","10000","群馬県","636228","","","","16.1","","33.9","","-0.7","","34","","","","94",""
"2018年","11000","埼玉県","379775","","","","16.4","","34.5","","-1.2","","47","","","","86",""
"2018年","12000","千葉県","515761","","","","17.2","","32.2","","1.8","","30","","","","96",""
"2018年","13000","東京都","219396","","","","16.8","","32.7","","0.6","","34","","","","103",""
"2018年","14000","神奈川県","241616","","","","17.1","","32.2","","2.1","","34","","","","104",""
"2018年","15000","新潟県","1258423","","","","14.3","","31.7","","-1.6","","12","","","","173",""
"2018年","16000","富山県","424761","","","","15.0","","32.8","","-1.0","","16","","","","179",""
"2018年","17000","石川県","418605","","","","15.5","","32.9","","-0.1","","17","","","","185",""
"2018年","18000","福井県","419052","","","","15.3","","33.7","","-1.6","","22","","","","175",""
"2018年","19000","山梨県","446527","","","","16.0","","34.5","","-2.8","","38","","","","84",""
"2018年","20000","長野県","1356156","","","","13.0","","32.8","","-4.6","","21","","","","110",""
"2018年","21000","岐阜県","1062129","","","","16.9","","35.1","","-0.1","","43","","","","114",""
"2018年","22000","静岡県","777735","","","","17.7","","32.7","","1.3","","64","","","","106",""
"2018年","23000","愛知県","517296","","","","16.9","","35.3","","0.2","","37","","","","111",""
"2018年","24000","三重県","577442","","","","16.9","","33.2","","1.2","","45","","","","108",""
"2018年","25000","滋賀県","401738","","","","15.7","","33.6","","-0.4","","26","","","","127",""
"2018年","26000","京都府","461220","","","","16.9","","35.0","","0.4","","21","","","","107",""
"2018年","27000","大阪府","190529","","","","17.4","","34.6","","1.8","","29","","","","96",""
"2018年","28000","兵庫県","840095","","","","17.4","","32.7","","2.1","","26","","","","97",""
"2018年","29000","奈良県","369094","","","","16.2","","34.4","","-0.2","","28","","","","110",""
"2018年","30000","和歌山県","472465","","","","17.3","","33.2","","1.9","","28","","","","94",""
"2018年","31000","鳥取県","350714","","","","15.7","","34.4","","-0.9","","22","","","","152",""
"2018年","32000","島根県","670807","","","","15.6","","33.7","","-0.7","","23","","","","148",""
"2018年","33000","岡山県","711433","","","","16.3","","34.7","","-0.9","","38","","","","84",""
"2018年","34000","広島県","847961","","","","16.8","","34.7","","1.0","","37","","","","81",""
"2018年","35000","山口県","611253","","","","16.0","","35.2","","-0.9","","34","","","","108",""
"2018年","36000","徳島県","414675","","","","17.1","","33.1","","1.5","","35","","","","106",""
"2018年","37000","香川県","187678","","","","17.0","","34.4","","0.9","","26","","","","94",""
"2018年","38000","愛媛県","567624","","","","17.1","","34.4","","1.7","","33","","","","90",""
"2018年","39000","高知県","710363","","","","17.4","","32.8","","0.9","","42","","","","114",""
"2018年","40000","福岡県","498651","","","","17.7","","34.5","","2.7","","34","","","","111",""
"2018年","41000","佐賀県","244070","","","","17.4","","35.3","","1.0","","41","","","","105",""
"2018年","42000","長崎県","413090","","","","17.7","","33.6","","2.5","","31","","","","107",""
"2018年","43000","熊本県","740950","","","","17.5","","35.6","","0.5","","37","","","","100",""
"2018年","44000","大分県","634073","","","","17.1","","33.9","","1.5","","34","","","","101",""
"2018年","45000","宮崎県","773532","","","","17.8","","31.6","","2.4","","67","","","","131",""
"2018年","46000","鹿児島県","918702","","","","19.0","","33.6","","3.7","","34","","","","114",""
"2018年","47000","沖縄県","228105","","","","23.5","","31.2","","14.4","","5","","","","128",""
"2019年","01000","北海道","7842133","","5313034","","9.8","","26.5","","-5.9","","18","","","","131",""
"2019年","02000","青森県","964564","","613319","","11.4","","29.8","","-3.1","","18","","","","140",""
"2019年","03000","岩手県","1527501","","1140190","","11.3","","30.5","","-4.9","","14","","","","107",""
"2019年","04000","宮城県","728229","","403665","","13.6","","30.0","","-0.9","","18","","","","97",""
"2019年","05000","秋田県","1163752","","817659","","12.9","","30.5","","-1.8","","10","","","","151",""
"2019年","06000","山形県","932315","","643605","","12.8","","32.0","","-2.9","","17","","","","131",""
"2019年","07000","福島県","1378390","","937613","","14.0","","32.2","","-1.5","","12","","","","109",""
"2019年","08000","茨城県","609739","","197837","","14.9","","31.5","","-2.5","","-","データが得られないことを示している。","","","102",""
"2019年","09000","栃木県","640809","","338814","","14.9","","32.4","","-2.8","","-","データが得られないことを示している。","","","120",""
"2019年","10000","群馬県","636228","","407081","","15.7","","33.3","","-0.4","","-","データが得られないことを示している。","","","103",""
"2019年","11000","埼玉県","379775","","119259","","16.1","","33.6","","-0.8","","-","データが得られないことを示している。","","","98",""
"2019年","12000","千葉県","515760","","155129","","16.8","","32.0","","2.4","","-","データが得られないことを示している。","","","117",""
"2019年","13000","東京都","219407","","76160","","16.5","","32.8","","1.4","","35","","","","111",""
"2019年","14000","神奈川県","241630","","93442","","16.9","","32.7","","2.9","","-","データが得られないことを示している。","","","111",""
"2019年","15000","新潟県","1258424","","798655","","14.6","","31.7","","0.5","","9","","","","153",""
"2019年","16000","富山県","424759","","240531","","15.2","","32.1","","0.5","","12","","","","166",""
"2019年","17000","石川県","418605","","277598","","15.8","","32.1","","1.3","","14","","","","158",""
"2019年","18000","福井県","419052","","309847","","15.6","","33.0","","0.7","","21","","","","172",""
"2019年","19000","山梨県","446527","","347359","","15.9","","33.8","","-2.3","","-","データが得られないことを示している。","","","95",""
"2019年","20000","長野県","1356156","","1021559","","12.9","","32.1","","-4.5","","-","データが得られないことを示している。","","","111",""
"2019年","21000","岐阜県","1062129","","838589","","17.0","","34.2","","0.8","","32","","","","108",""
"2019年","22000","静岡県","777735","","488352","","17.8","","32.4","","2.8","","45","","","","118",""
"2019年","23000","愛知県","517306","","217531","","17.0","","33.9","","1.2","","27","","","","109",""
"2019年","24000","三重県","577445","","370850","","16.9","","32.1","","2.7","","27","","","","109",""
"2019年","25000","滋賀県","401738","","203570","","15.8","","32.8","","1.6","","18","","","","125",""
"2019年","26000","京都府","461220","","342114","","16.9","","34.3","","1.9","","14","","","","111",""
"2019年","27000","大阪府","190529","","56961","","17.6","","33.7","","3.2","","19","","","","92",""
"2019年","28000","兵庫県","840094","","562314","","17.7","","32.3","","3.7","","19","","","","91",""
"2019年","29000","奈良県","369094","","283671","","16.3","","33.5","","0.7","","22","","","","111",""
"2019年","30000","和歌山県","472465","","360113","","17.4","","32.2","","2.9","","26","","","","88",""
"2019年","31000","鳥取県","350714","","257355","","16.0","","33.6","","1.5","","13","","","","151",""
"2019年","32000","島根県","670807","","523260","","15.9","","31.7","","1.8","","15","","","","150",""
"2019年","33000","岡山県","711433","","484721","","16.5","","32.8","","0.4","","27","","","","78",""
"2019年","34000","広島県","847964","","610059","","17.2","","32.1","","2.6","","23","","","","80",""
